feature,coefficient,std_error,t_value,p_value,CI_lower,CI_upper,abs_t
SALARY_FROM,0.9969693932847665,0.01923303064709001,51.83631282964807,0.0,0.9592726532164702,1.034666133353063,51.83631282964807
COMPANY_NAME_ohe_83,30150.21296966872,1698.9787829481936,17.74607974641675,0.0,26820.21455509026,33480.21138424718,17.74607974641675
COMPANY_NAME_ohe_19,17311.437440003025,1009.4516181183665,17.14934834843478,0.0,15332.912268491027,19289.962611515024,17.14934834843478
COMPANY_NAME_ohe_8,27691.16278515278,1817.4754630387301,15.236058669454888,0.0,24128.91087759687,31253.41469270869,15.236058669454888
COMPANY_NAME_ohe_7,16521.168586240805,1113.8476805933929,14.832520526899417,0.0,14338.027132277755,18704.310040203854,14.832520526899417
COMPANY_NAME_ohe_20,27976.679827844928,1893.5088285963122,14.7750458858882,0.0,24265.402523796154,31687.9571318937,14.7750458858882
COMPANY_NAME_ohe_14,10758.161211056824,872.2191732884769,12.334240682300022,0.0,9048.61163141141,12467.710790702238,12.334240682300022
COMPANY_NAME_ohe_36,4943.270656971246,503.63144441975226,9.815254213657221,0.0,3956.153025908532,5930.388288033961,9.815254213657221
COMPANY_NAME_ohe_31,27707.414027014423,2956.6346506099176,9.371267437895556,0.0,21912.410111818986,33502.41794220986,9.371267437895556
COMPANY_NAME_ohe_109,10493.319675123328,1121.9451883992865,9.352791726032951,0.0,8294.307105860727,12692.332244385929,9.352791726032951
COMPANY_NAME_ohe_9,10325.221901032011,1645.2102177153597,6.275928625929792,3.4755354150206585e-10,7100.609874309906,13549.833927754116,6.275928625929792
COMPANY_NAME_ohe_0,2568.2241469869195,424.9031147122846,6.0442582274925085,1.5009895548701024e-09,1735.4140421508419,3401.0342518229972,6.0442582274925085
COMPANY_NAME_ohe_50,29014.708198288998,4927.625392823797,5.8881724736104575,3.904895073958414e-09,19356.56242835436,38672.85396822364,5.8881724736104575
MAX_YEARS_EXPERIENCE,490.1577766912118,83.87066077224618,5.844210265878947,5.089770604982391e-09,325.7712815776093,654.5442718048143,5.844210265878947
MIN_YEARS_EXPERIENCE,490.1577766912118,83.87066077224618,5.844210265878947,5.089770604982391e-09,325.7712815776093,654.5442718048143,5.844210265878947
